00:39:44.125 [http-nio-8080-exec-3] INFO  c.R.b.b.controller.BookingController - Booking request fetched from user with email: rati@gmail.com
00:39:44.222 [http-nio-8080-exec-3] INFO  c.R.b.b.service.BookingServiceImpl - ? New booking request received from userId 51 for issue 'Fire'
00:39:44.222 [http-nio-8080-exec-3] INFO  c.R.b.b.service.BookingServiceImpl - Ambulance required: Searching for 1 ambulances near [18.520492, 73.853767]
00:39:59.724 [http-nio-8080-exec-4] INFO  c.R.b.b.controller.BookingController - Booking request fetched from user with email: rati@gmail.com
00:39:59.732 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - ? New booking request received from userId 51 for issue 'Fire'
00:39:59.732 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Ambulance required: Searching for 1 ambulances near [18.520492, 73.853767]
00:40:02.003 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Ambulances assigned: [4]
00:40:02.003 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Police required: 1 officers near [18.520492, 73.853767]
00:40:02.085 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Police assignment: [Shivajinagar Police Station=1]
00:40:02.085 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Fire truck required: 1 units near [18.520492, 73.853767]
00:40:02.500 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Emergency Request saved with id:16
00:40:02.510 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Status update for each service
00:40:02.517 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Ambulance assignment status FULL || Fire brigade Assignment statusFULL
00:40:02.550 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Booking log saved with id 16
00:40:02.550 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Started building booking Response dto
00:40:02.550 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Booking process completed successfully for user rati@gmail.com. Returning response.
01:48:57.441 [http-nio-8080-exec-4] INFO  c.R.b.b.controller.BookingController - Booking request fetched from user with email: rati@gmail.com
01:48:57.445 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - ? New booking request received from userId 51 for issue 'Assault'
01:48:57.445 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Ambulance required: Searching for 1 ambulances near [18.520492, 73.853767]
01:48:58.049 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Ambulances assigned: [7]
01:48:58.049 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Police required: 1 officers near [18.520492, 73.853767]
01:48:58.074 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Police assignment: [Shivajinagar Police Station=1]
01:48:58.075 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Fire truck required: 1 units near [18.520492, 73.853767]
01:48:58.231 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Emergency Request saved with id:17
01:48:58.232 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Status update for each service
01:48:58.235 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Ambulance assignment status FULL || Fire brigade Assignment statusFULL
01:48:58.249 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Booking log saved with id 17
01:48:58.249 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Started building booking Response dto
01:48:58.249 [http-nio-8080-exec-4] INFO  c.R.b.b.service.BookingServiceImpl - Booking process completed successfully for user rati@gmail.com. Returning response.
01:58:28.332 [http-nio-8080-exec-6] INFO  c.R.b.b.controller.BookingController - Booking request fetched from user with email: rati@gmail.com
01:58:28.348 [http-nio-8080-exec-6] INFO  c.R.b.b.service.BookingServiceImpl - ? New booking request received from userId 51 for issue 'Plane Crash'
01:58:28.348 [http-nio-8080-exec-6] INFO  c.R.b.b.service.BookingServiceImpl - Ambulance required: Searching for 1 ambulances near [18.672212513698632, 73.88908205707763]
01:59:50.903 [http-nio-8080-exec-5] INFO  c.R.b.b.controller.BookingController - Booking request fetched from user with email: rati@gmail.com
01:59:50.903 [http-nio-8080-exec-5] INFO  c.R.b.b.service.BookingServiceImpl - ? New booking request received from userId 51 for issue 'Natural Disaster'
01:59:50.903 [http-nio-8080-exec-5] INFO  c.R.b.b.service.BookingServiceImpl - Ambulance required: Searching for 1 ambulances near [18.67219736245353, 73.88907814312267]
01:59:51.186 [http-nio-8080-exec-5] INFO  c.R.b.b.service.BookingServiceImpl - Ambulances assigned: []
01:59:51.186 [http-nio-8080-exec-5] INFO  c.R.b.b.service.BookingServiceImpl - Ambulances assigned: []
01:59:51.186 [http-nio-8080-exec-5] INFO  c.R.b.b.service.BookingServiceImpl - Fire truck required: 1 units near [18.67219736245353, 73.88907814312267]
01:59:51.461 [http-nio-8080-exec-5] INFO  c.R.b.b.service.BookingServiceImpl - Emergency Request saved with id:18
01:59:51.461 [http-nio-8080-exec-5] INFO  c.R.b.b.service.BookingServiceImpl - Status update for each service
01:59:51.461 [http-nio-8080-exec-5] INFO  c.R.b.b.service.BookingServiceImpl - Ambulance assignment status NONE || Fire brigade Assignment statusNONE
01:59:51.485 [http-nio-8080-exec-5] INFO  c.R.b.b.service.BookingServiceImpl - Booking log saved with id 18
01:59:51.485 [http-nio-8080-exec-5] INFO  c.R.b.b.service.BookingServiceImpl - Started building booking Response dto
01:59:51.485 [http-nio-8080-exec-5] INFO  c.R.b.b.service.BookingServiceImpl - Booking process completed successfully for user rati@gmail.com. Returning response.
02:54:40.199 [http-nio-8080-exec-4] INFO  c.R.b.b.c.DashboardController - Dashboard statistics requested
02:54:41.160 [http-nio-8080-exec-4] INFO  c.R.b.b.c.DashboardController - Dashboard statistics generated successfully
02:58:47.272 [http-nio-8080-exec-6] INFO  c.R.b.b.c.DashboardController - Dashboard statistics requested
02:58:48.796 [http-nio-8080-exec-6] INFO  c.R.b.b.c.DashboardController - Dashboard statistics generated successfully
02:58:58.214 [http-nio-8080-exec-8] INFO  c.R.b.b.c.DashboardController - Dashboard statistics requested
02:58:59.316 [http-nio-8080-exec-8] INFO  c.R.b.b.c.DashboardController - Dashboard statistics generated successfully
